"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"47",2.295447285,0.91708102659,0.24461886081,1.47446805375,0.53905583191,0.116542852837,0.51651834476,0.322303433047,0.38782184974,1.759953824,0.98787227621,0.20631338683,0.516567179785,0.320028094478,0.019385340108,2.95906353625,0.64917182251,0.331142922865,0.505751291201,0.864631858030449,0.833045742439129,0.769674858387112,0.0789921979770382,0.0946004155474931,0.138220164951909,0.0946004155474931,0.198652697740069,0,67213.0268753374,0.0009265420706,65481090.2533626,1e-04,0,0.0428731441497803,121.103466033936,"4_150_6",4,150,6,1645,TRUE,TRUE,6,0.072511973510134,2,FALSE
"48",2.9052672385,0.84299372204,0.021061604172,1.7434177205,0.71551777603,0.1478488999,0.552181466125,0.312093850244,0.36417389326,1.692651747,0.77889457434,0.38771877202,0.593351941925,0.53652049015,0.006974309271,2.89502565225,0.94186715075,0.3985697493,0.505368675035,0.853423345082253,0.824568957127569,0.772112692940646,0.0821974543188603,0.0969722600253499,0.137486735984586,0.0969722600253499,0.147710518096306,0,126241.631995958,0.001828092554,65481090.2533626,1e-04,0,0.0432648658752441,121.601074934006,"4_151_3",4,151,3,1653,FALSE,TRUE,5,0.0591875548643803,NA,NA
"49",1.849884618,0.97283920263,0.1753585725,1.651908331,0.53515173171,0.13965002653,0.53902701115,0.331910915932,0.38991791698,1.80199308725,0.9724748632,0.16945960525,0.8863859725,0.344596329064,0.04845265716,2.91168040425,0.51741005013,0.32843783303,0.505530388115,0.870415202659471,0.850178788463465,0.7754638274973,0.0772863845127281,0.0896150491141157,0.136472105252262,0.0896150491141157,0.174430232098638,0,12231.9650449779,8.681016825e-05,65481090.2533626,1e-04,0,0.0736949443817139,121.832153081894,"4_151_7",4,151,7,1657,FALSE,TRUE,2,0.0650449849509482,2,FALSE
"50",2.319210627,0.94989017387,0.15126594981,1.17448306825,0.79954634317,0.3931571896,0.5819906039,0.346268054077,0.36568591558,1.6340966665,0.86209343876,0.30677774695,0.652857238275,0.51238601419,0.012790324488,2.9560611035,0.66306473434,0.34416246999,0.504587365577,0.864526014954088,0.831643727957411,0.771832359201342,0.0790230735710153,0.0949967931895506,0.137571274095769,0.0949967931895506,0.18269632187758,0,61435.4238398988,0.0008383000937,65481090.2533626,1e-04,0,0.0425529479980469,122.453010082245,"4_152_6",4,152,6,1667,FALSE,TRUE,5,0.0677246432764229,1,FALSE
"51",2.84293851425,0.91336438366,0.12594214221,0.85599864625,0.43242852014,0.31835335762,0.5391374682,0.310116870085,0.38545722133,1.62608460325,0.90611368601,0.14939810875,0.516567179785,0.46052885142,0.003900491607,2.979102398,0.85028458457,0.34162270384,0.507401613173,0.861382534297779,0.726767830203231,0.833362379297521,0.0797881982249823,0.118820056230145,0.118321940984017,0.118820056230145,0.134546259504953,0,84579.571719851,0.001191783251,65481090.2533626,1e-04,0,0.0419719219207764,122.944897890091,"4_153_3",4,153,3,1675,TRUE,TRUE,7,0.0472264451172123,1,FALSE
"52",2.9052672385,0.84299372204,0.021061604172,1.7434177205,0.71551777603,0.1478488999,0.552181466125,0.312093850244,0.36417389326,1.692651747,0.77889457434,0.38771877202,0.593351941925,0.53652049015,0.006974309271,2.89502565225,0.94186715075,0.3985697493,0.505368675035,0.853423345082253,0.824568957127569,0.772112692940646,0.0821974543188603,0.0969722600253499,0.137486735984586,0.0969722600253499,0.147710518096306,0,126241.631995958,0.001828092554,65481090.2533626,1e-04,0,0.0680088996887207,123.360205888748,"4_153_11",4,153,11,1683,FALSE,TRUE,5,0.0591875548643803,NA,NA
"53",1.8554879065,0.95419968327,0.24139763817,1.480588277,0.41217899161,0.32311947505,0.500204148817725,0.3766074645,0.39572257384,1.7791084245,0.83729009187,0.120000131683,2.62700784875,0.51702657907,0.01022350077,2.9903842575,0.45253945455,0.314042130495,0.50502938741,0.873698365315205,0.869290577519795,0.76364060524992,0.0763010387034773,0.0837042949600422,0.140019063336343,0.0837042949600422,0.346635218494786,0,14629.7742675528,0.0001234321765,65481090.2533626,1e-04,0,0.081373929977417,123.657757043839,"4_154_3",4,154,3,1686,FALSE,TRUE,5,0.124465244294928,2,FALSE
"54",2.54764382975,0.87732857315,0.0558534615,1.5028806075,0.6464084386,0.19738539349,0.547595041775,0.315781896431,0.36990359086,1.6999182435,0.82051145517,0.34584153991,0.90265038775,0.53188759314,0.004900808052,2.97495012075,0.78198268867,0.3847219604,0.515079631607,0.866159410864463,0.738070268306783,0.835470171491152,0.0776509651350001,0.113710492663528,0.117175614895519,0.113710492663528,0.146556445403049,0,16682.1834609251,0.0001547788515,65481090.2533626,1e-04,0,0.0588281154632568,124.316307067871,"4_154_11",4,154,11,1694,TRUE,TRUE,8,0.0494533075583681,1,FALSE
"55",2.87231620175,0.92785101841,0.10540806378,0.76065227675,0.47080755111,0.34872255925,0.544688749225,0.312570971686,0.37613994922,1.55615415975,0.89875278799,0.12253736698,0.516206401495,0.45806607992,0.0025362721296,2.96529580975,0.86101141747,0.3841549485,0.510676537949,0.860322837335384,0.729251732139059,0.834429656118075,0.0800925982947252,0.118278737845676,0.11794241948996,0.118278737845676,0.101163679873612,0,88862.6616364392,0.001257199362,65481090.2533626,1e-04,0,0.0414919853210449,125.382071018219,"4_156_1",4,156,1,1706,FALSE,TRUE,5,0.0416829718573073,1,FALSE
"56",2.42492652725,0.97362810333,0.17168092836,0.678873614625,0.44710134453,0.35812865515,0.544655574075,0.312322503767,0.38474721772,1.6235644615,0.90474130304,0.14654517676,0.619910829,0.354379410771,0.03476798883,2.9631544485,0.70172148513,0.3281033614,0.507080629352,0.86559189367846,0.733214274128599,0.833342688970803,0.0785674055045083,0.117410012083994,0.118328931388844,0.117410012083994,0.134260990870346,0,60621.0895450588,0.000825862675,65481090.2533626,1e-04,0,0.0448269844055176,126.359451055527,"4_157_2",4,157,2,1718,FALSE,TRUE,6,0.0471692046684703,1,FALSE
