"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"20","3_174_4",0,0.18713399953006,0.0891517018244462,0.139311028573376,0.0781166725741767,0.0891517018244462,0.117452401072699,0.697597082501259,0.76685364689167,0.241444682197483,0.509549505508249,0.0800129715506966,0.880495900669286,0.984913876414993,0.0734818980872723,0.925090196705989,0.0303817268118355,0.244442300170891,0.0949600188969593,0.33004964467371,0.322991222873988,0.0899958867660439,0.441831999221909,0.202793732174486,3,16,FALSE
"21","3_176_1",0,0.126450583527248,0.1464574351666,0.0503118360057006,0.0753175195373514,0.1464574351666,0.0749489518145338,0.999644254456444,0.951544108072906,0.58630805090364,0.719471200736173,0.295078760310901,0.816593243093497,0.967704771587139,0.194945795409959,0.912134578500356,0.0301665698906617,0.68875134536432,0.15708621273203,0.639207151060972,0.387705271430449,0.066481409518022,0.110777992180195,0.287510102488712,3,16,TRUE
"22","3_176_4",0,0.177966024986692,0.0887166924015369,0.13750927238406,0.0776912133718767,0.0887166924015369,0.0548452663574571,0.721764515084844,0.974401983543898,0.861794270784101,0.307814872885365,0.0123275860570597,0.868972079662816,0.9738575192738,0.118731290713192,0.828528260710654,0.0294395569064132,0,0.112020270117296,0.873304989803808,0.0427551198945633,0.00976922654605974,0.365993908946646,0.266153228274974,3,16,FALSE
"23","3_176_8",0,0.228268140994273,0.084003465783483,0.140048150125809,0.0782854494434906,0.084003465783483,0.132323626264656,0.939328299264977,0.906466779605237,0.312191281743496,0.180233007297375,0.262637705066194,0.994812326994964,0.961124315376025,0.31359306386949,0.864220294391189,0.0625011512400053,0.542153067767526,0.0570955999318924,0.896599180838847,0.855763640153449,0.15495050112732,0.152967170339995,0.0573135136508013,4,21,FALSE
"24","3_176_9",0,0.13249630775397,0.146597776743919,0.0515879500931556,0.07338436576656,0.146597776743919,0.0255417269386092,0.895502124362604,0.78653310523525,0.177902044521233,0.306700249912443,0.0248281091536069,0.879391418948733,0.981866494484134,0.0712708279618081,0.94491733123583,0.0921968189397555,0.346861244797973,0.136740489179148,0.667764175139298,0.155784927176933,0.0825535758269717,0.369294830792528,0.228739042687935,3,16,FALSE
"25","3_176_10",0,0.160538645263533,0.101165005223045,0.121756507356898,0.075249484676508,0.101165005223045,0.0467676971197417,0.902401729496794,0.860877593043609,0.246168438013323,0.610781011330837,0.119323621694992,0.877039075582274,0.966665563761983,0.0676031948898253,0.954019979269209,0.0589473723655751,0.122748455455966,0.107094297553383,0.770390919541968,0.183409438489163,0.120476266836165,0.322394569788223,0.312523788587787,3,16,FALSE
"26","3_177_1",0,0.199525924461769,0.0845945705188498,0.139866777570485,0.0786462533932279,0.0845945705188498,0.0804737390431883,0.893087776756232,0.595292603307047,0.241444682197483,0.509549505508249,0.0800129715506966,0.880311749192628,0.962625113169952,0.0744867774700169,0.925090196705989,0.0303817268118355,0.244442300170891,0.0862118566625193,0.716579048346401,0.332789478942798,0.0899958867660439,0.441831999221909,0.202793732174486,3,16,FALSE
"27","3_178_1",0,0.181466347223519,0.0829521307468119,0.140485982478891,0.0786261776453694,0.0829521307468119,0.134264476979468,0.585291546875862,0.732392620740366,0.15814239697216,0.0303190871586095,0.114670178101893,0.962722922276102,0.990084664188755,0.241595290471971,0.972061022174972,0.00143636009504577,0.147607220241606,0.0495276100816417,0.872742027954238,0.459092811261072,0.132355314622204,0.330010230640089,0.154167551357725,4,21,FALSE
"28","3_178_8",0,0.163183446974402,0.100328016136466,0.121622622852713,0.0755461737170578,0.100328016136466,0.0963106923059122,0.90529209109626,0.832754606199526,0.288423718300013,0.584748329067363,0.05455652182144,0.86367230615846,0.984202795442644,0.0705046847485221,0.882709242651375,0.0787445772122835,0.152740312041932,0.138492021347718,0.659173554168176,0.245250799598066,0.0770793476937196,0.240968988380237,0.285572558103508,3,16,FALSE
"29","3_178_9",0,0.134186468141526,0.143316621134748,0.0518369986601704,0.075594139674527,0.143316621134748,0,0.999644254456444,0.951544108072906,0.58630805090364,0.719471200736173,0.295078760310901,0.724992780879383,0.967704771587139,0.194945795409959,0.912134578500356,0.0301665698906617,0.68875134536432,0.163661638790792,0.639207151060972,0.387705271430449,0.066481409518022,0.110777992180195,0.287510102488712,3,16,FALSE
"30","3_179_3",0,0.190741739102187,0.0831730859031377,0.140138892197213,0.0778651892015871,0.0831730859031377,0.11029754653523,0.601556178570662,0.880427577023603,0.00513275038619913,0.00545453442829812,0.0765092190701544,0.925041425839207,0.956880696998502,0.183196263424091,1,0.0187486901294431,0.21610572734427,0.0454761958307038,0.866776787938876,0.841393120799849,0.147827081417026,0.343768925918483,0.0927650401591727,4,21,FALSE
"31","3_179_5",0,0.218712017857187,0.0832956342351739,0.140431720194955,0.0770265392956783,0.0832956342351739,0.130770945672345,0.824147168144866,0.882740104773055,0.0454483168909724,0.160727599872675,0.0633559361586363,0.981223048755018,0.961124315376025,0.197998194272935,0.978879159478594,0.0578803768744321,0.241847409960143,0.0631499917706849,0.892247351863375,0.724514468335512,0.134198845427331,0.323778417067243,0,4,21,FALSE
"32","3_180_11",0,0.238613863602717,0.082174119837777,0.142582649037234,0.0789099309580301,0.082174119837777,0.173765081558366,0.985323785538062,0.58790561811265,0.176497399785767,0.244465472626637,0.181054905190504,0.947229500337787,0.994601366005206,0.173686080207107,0.992467222460662,0,0.228944079834499,0,0.75145803736636,0.460316824749386,0.152720614648452,0.345750153198926,0.0123041330026406,4,21,FALSE
