"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"11","search_S",80168.4647444402,4490113.91138136,0.0156560495494065,28599.4516648494,0.0157501386792951,4490113.91138136,0.0156560495494065,28599.4516648494,0.0157501386792951,TRUE,0.504912870542,0.868473561430792,0.859185174078396,0.764312935171409,0.0778632441777076,0.0868797347091656,0.139819777738867,0.0868797347091656,0.21556030667751,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,"3_143_11",3,143,11,1573,8,809960,5158.98089171975,5202.73345935942,43.7525676396726,33693.7618400188,0.0644012269879381,0.11715632072109,6.53108870670521,5.54362426710129,0.180387405750876,4,FALSE,3.61621761173691,0.468755131406784,0,8.09725404089082,0.0839506274748332
"12","newsletter",222922.449979412,2992539.85250818,0.0104343348819469,19060.7633917719,0.0104970427500404,2992539.85250818,0.0104343348819469,19060.7633917719,0.0104970427500404,TRUE,0.504912870542,0.868473561430792,0.859185174078396,0.764312935171409,0.0778632441777076,0.0868797347091656,0.139819777738867,0.0868797347091656,0.21556030667751,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,"3_143_11",3,143,11,1573,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,0.0426370358978651
"13","(Intercept)",105254.255955287,16524918.1849801,0.0579550701892613,105254.255955287,0.0583481394710409,16524918.1849801,0.0579550701892613,105254.255955287,0.0583481394710409,TRUE,0.64824326963,0.892992054594274,0.603352670534171,0.957603818543677,0.0748866316041972,0.148345733472957,0.053375037465019,0.148345733472957,0.137156247669865,0,48539.5885564766,0.0006413405601,65481090.2533626,1e-04,"3_152_9",3,152,9,1670,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"14","trend",0.330702122621944,95034159.3484735,0.333297346090605,605313.116869258,0.335557872184681,95034159.3484735,0.333297346090605,605313.116869258,0.335557872184681,TRUE,0.64824326963,0.892992054594274,0.603352670534171,0.957603818543677,0.0748866316041972,0.148345733472957,0.053375037465019,0.148345733472957,0.137156247669865,0,48539.5885564766,0.0006413405601,65481090.2533626,1e-04,"3_152_9",3,152,9,1670,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"15","season",0.365319730699238,172355.569907204,0.00060447374320808,1097.80617775289,0.000608573471830984,172355.569907204,0.00060447374320808,1097.80617775289,0.000608573471830984,TRUE,0.64824326963,0.892992054594274,0.603352670534171,0.957603818543677,0.0748866316041972,0.148345733472957,0.053375037465019,0.148345733472957,0.137156247669865,0,48539.5885564766,0.0006413405601,65481090.2533626,1e-04,"3_152_9",3,152,9,1670,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"16","holiday",0.610467314863859,-747935.60431826,-0.0026231089291995,-16998.5364617786,-0.00942321018065791,-747935.60431826,-0.0026231089291995,-16998.5364617786,-0.00942321018065791,FALSE,0.64824326963,0.892992054594274,0.603352670534171,0.957603818543677,0.0748866316041972,0.148345733472957,0.053375037465019,0.148345733472957,0.137156247669865,0,48539.5885564766,0.0006413405601,65481090.2533626,1e-04,"3_152_9",3,152,9,1670,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"17","competitor_sales_B",0.167062801769672,145551282.363945,0.510467567289176,927078.231617485,0.513929716836935,145551282.363945,0.510467567289176,927078.231617485,0.513929716836935,TRUE,0.64824326963,0.892992054594274,0.603352670534171,0.957603818543677,0.0748866316041972,0.148345733472957,0.053375037465019,0.148345733472957,0.137156247669865,0,48539.5885564766,0.0006413405601,65481090.2533626,1e-04,"3_152_9",3,152,9,1670,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"18","events",0,0,0,0,0,0,0,0,0,TRUE,0.64824326963,0.892992054594274,0.603352670534171,0.957603818543677,0.0748866316041972,0.148345733472957,0.053375037465019,0.148345733472957,0.137156247669865,0,48539.5885564766,0.0006413405601,65481090.2533626,1e-04,"3_152_9",3,152,9,1670,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"19","tv_S",377268.273058047,5850430.43956614,0.0205182321005758,37263.8881501028,0.0206573931218432,5850430.43956614,0.0205182321005758,37263.8881501028,0.0206573931218432,TRUE,0.64824326963,0.892992054594274,0.603352670534171,0.957603818543677,0.0748866316041972,0.148345733472957,0.053375037465019,0.148345733472957,0.137156247669865,0,48539.5885564766,0.0006413405601,65481090.2533626,1e-04,"3_152_9",3,152,9,1670,8,2591412.14666667,16505.80985138,26570.5649018438,10064.7550504638,12659.6735622504,0.206047362680601,0.204571365315429,0.766982879134034,2.25762252719682,0.442943843779611,3,FALSE,2.90016232919491,0.0883378404256542,2.14686071303779,3.65316191168573,0.154519307439785
"20","ooh_S",335022.479601905,17610542.6605216,0.0617624985816377,112169.061531985,0.0621813910250273,17610542.6605216,0.0617624985816377,112169.061531985,0.0621813910250273,TRUE,0.64824326963,0.892992054594274,0.603352670534171,0.957603818543677,0.0748866316041972,0.148345733472957,0.053375037465019,0.148345733472957,0.137156247669865,0,48539.5885564766,0.0006413405601,65481090.2533626,1e-04,"3_152_9",3,152,9,1670,8,8239693.86666667,52482.1265392781,85415.877794321,32933.7512550428,132588.708593033,0.655151359349006,0.615785931175974,2.52635930241512,2.13728118368139,0.467884154707963,3,FALSE,2.20022063287487,0.0223688744197117,2.00985457041405,2.39127958814667,0.722050428626034
"21","print_S",58485.2221552047,2008723.50632772,0.00704485858851969,12794.4172377562,0.00709263900698152,2008723.50632772,0.00704485858851969,12794.4172377562,0.00709263900698152,TRUE,0.64824326963,0.892992054594274,0.603352670534171,0.957603818543677,0.0748866316041972,0.148345733472957,0.053375037465019,0.148345733472957,0.137156247669865,0,48539.5885564766,0.0006413405601,65481090.2533626,1e-04,"3_152_9",3,152,9,1670,8,601634.977777778,3832.06992215145,6113.41926059881,2281.34933844735,11475.9579819511,0.0478369682055284,0.0702388165239222,2.9947151839829,3.3387744737635,0.299511095420826,3,FALSE,2.79828504943431,0.3867581314462,0,6.08765726478179,0.238843423856653
