"","solID","mape","decomp.rssd","nrmse","tv_S","ooh_S","print_S","facebook_S","search_S","cluster","top_sol"
"34","1_175_10",0,0.100191808736765,0.055720015905581,0.543503419707487,0.49617866456257,0.662728102849076,0.472968251085319,0.653826944085632,"1",FALSE
"35","1_176_3",0,0.035068607015456,0.0615253273527029,0.696663120207364,0.768133186050106,0.509310775168678,0.833873577377042,0.723993923719076,"3",FALSE
"36","1_176_5",0,0.175143660469981,0.053346567557537,0.496093857490193,0.662049691376974,0.812209965714183,0.157936563178825,0.464598953289191,"1",FALSE
"37","1_176_7",0,0.0370013126782029,0.0630272384940179,0.562521271286776,0.649168011157653,0.33638467513551,0.728675829606068,0.725714339313516,"3",FALSE
"38","1_176_9",0,0.231258135928374,0.0523427473795089,0.323959222676473,0.292704392782727,0.643365824813413,0.014704515053306,0.267747967356596,"2",FALSE
"39","1_177_1",0,0.0694709807303076,0.058069688084214,0.323872799032692,0.342625591290801,0.391729791613638,0.538564466745906,0.568266837868774,"4",TRUE
"40","1_177_9",0,0.14317919346291,0.0545430947605757,0.270465139704123,0.549644537284056,0.722813327493879,0.274700152766305,0.669161323097443,"1",FALSE
"41","1_178_6",0,0.0792762536251952,0.0572982922346496,0.414205482630031,0.568924207126005,0.572209893918686,0.540708742910696,0.69234048179663,"1",FALSE
"42","1_178_8",0,0.0727247239881448,0.0574306987319135,0.496536977164997,0.690475431618002,0.499540032333453,0.549163816430306,0.486301504833615,"1",FALSE
"43","1_179_3",0,0.0616782875626206,0.0591228785205904,0.644912843106904,0.512602998814143,0.469949383605175,0.720551719328488,0.658970396467952,"3",FALSE
"44","1_179_9",0,0.239398055111492,0.0523466114189385,0.337253953454971,0.209772197496422,0.744152856775347,0.0222400601280702,0.26742126937019,"2",FALSE
"45","1_180_2",0,0.206353253394715,0.0529193307856356,0.612342943936879,0.561904024610536,0.874185548907547,0.116453727161667,0.280168857322695,"2",FALSE
"46","1_180_3",0,0.0615105600942982,0.0591939511857356,0.969796988996319,0.866939073942616,0.751417107336739,0.857830268167334,0.936411976736435,"3",FALSE
"47","1_181_1",0,0.086536657457881,0.0570841042611855,0.757602439180859,0.793211914508678,0.737664568071709,0.557620118425236,0.768431259008706,"3",FALSE
"48","1_181_10",0,0.104394201172944,0.0557207202097156,0.549411188366657,0.51219378635054,0.73734711469808,0.473719678337029,0.662452185868662,"1",FALSE
