"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","rsq_train","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","iterPar","iterNG","df.int","trial","iterations","solID","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response"
"2008","holiday",1.04862481704624,4762435.93792713,0.0288477155078902,297652.246120446,0.0620501753386204,4762435.93792713,0.0288477155078902,297652.246120446,0.0620501753386204,TRUE,0.94523482386303,0.0534404330184997,0.191778510814366,0,47072.1126386184,0.000618927636392597,65481090.2533626,1e-04,7,183,1,5,1827,"5_183_7",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009","competitor_sales_B",0.171401503149125,83895013.4282821,0.508181004732445,911902.319872632,0.190100023021143,83895013.4282821,0.508181004732445,911902.319872632,0.190100023021143,TRUE,0.94523482386303,0.0534404330184997,0.191778510814366,0,47072.1126386184,0.000618927636392597,65481090.2533626,1e-04,7,183,1,5,1827,"5_183_7",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","events",0.973274095340177,1238793.31276873,0.00750379795667837,1238793.31276873,0.258245463514848,1238793.31276873,0.00750379795667837,1238793.31276873,0.258245463514848,TRUE,0.94523482386303,0.0534404330184997,0.191778510814366,0,47072.1126386184,0.000618927636392597,65481090.2533626,1e-04,7,183,1,5,1827,"5_183_7",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","tv_S",389709.745954658,7552953.08519459,0.0457508394204187,82097.3161434195,0.0171144445503965,7552953.08519459,0.0457508394204187,82097.3161434195,0.0171144445503965,TRUE,0.94523482386303,0.0534404330184997,0.191778510814366,0,47072.1126386184,0.000618927636392597,65481090.2533626,1e-04,7,183,1,5,1827,"5_183_7",3,10247935.1,256198.3775,0.311135800761756,0.411031125402797,0.630652627806314,0.737021947494046,1.35681169794211,161572.180010089,0.553863575943979
"2012","ooh_S",248032.086472053,5553058.54420723,0.0336367890654869,60359.3320022525,0.0125828283941329,5553058.54420723,0.0336367890654869,60359.3320022525,0.0125828283941329,TRUE,0.94523482386303,0.0534404330184997,0.191778510814366,0,47072.1126386184,0.000618927636392597,65481090.2533626,1e-04,7,183,1,5,1827,"5_183_7",3,10240536,262577.846153846,0.310911157955088,0.302197018451931,0.325170298345575,0.542262489405557,1.84412534434426,85382.5165727846,0.118565279481118
"2013","print_S",271932.149706211,2889995.40062022,0.0175056979711291,31412.9934850025,0.00654852022472762,2889995.40062022,0.0175056979711291,31412.9934850025,0.00654852022472762,TRUE,0.94523482386303,0.0534404330184997,0.191778510814366,0,47072.1126386184,0.000618927636392597,65481090.2533626,1e-04,7,183,1,5,1827,"5_183_7",3,2793216,77589.3333333333,0.0848043521333921,0.157273327204208,0.952432932809835,1.03464801885004,0.966512264829399,73898.6363014265,1.9552495166281
"2014","facebook_S",43856.04450922,669525.442349269,0.0040555463082182,7277.45046031814,0.00151709615152085,669525.442349269,0.0040555463082182,7277.45046031814,0.00151709615152085,TRUE,0.94523482386303,0.0534404330184997,0.191778510814366,0,47072.1126386184,0.000618927636392597,65481090.2533626,1e-04,7,183,1,5,1827,"5_183_7",3,5988890.4119093,136111.145725211,0.181827675117088,0.036435523026625,0.110850980039372,0.111794572333111,8.94497808910015,15088.0538979214,0.0569107872870518
"2015","search_S",80351.0992855164,1710090.73084217,0.0103586088167911,18587.9427265453,0.0038749417160442,1710090.73084217,0.0103586088167911,18587.9427265453,0.0038749417160442,TRUE,0.94523482386303,0.0534404330184997,0.191778510814366,0,47072.1126386184,0.000618927636392597,65481090.2533626,1e-04,7,183,1,5,1827,"5_183_7",3,3666600,47618.1818181818,0.111321014032676,0.0930630059144396,0.41776187063007,0.466396861081702,2.14409676274563,19893.0607123664,0.52969519058388
"2016","newsletter",421633.088140428,3944852.51380542,0.0238953309865153,42878.8316717981,0.00893875002869499,3944852.51380542,0.0238953309865153,42878.8316717981,0.00893875002869499,TRUE,0.94523482386303,0.0534404330184997,0.191778510814366,0,47072.1126386184,0.000618927636392597,65481090.2533626,1e-04,7,183,1,5,1827,"5_183_7",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017","(Intercept)",1685060.44648653,155025561.076761,0.939043241879275,1685060.44648653,0.383582982239113,155025561.076761,0.939043241879275,1685060.44648653,0.383582982239113,TRUE,0.94497149729514,0.0535687573612795,0.175620715589281,0,41317.5306089244,0.000531037261886302,65481090.2533626,1e-04,1,196,1,5,1951,"5_196_1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
